1787502741	1.42	2	0	
1787502746	1.39	6	0	
1787502751	1.76	4	0	
1787502756	1.86	4	0	
1787502761	2.03	6	0	
1787502766	2.11	4	0	
1787502771	2.34	4	0	
1787502776	2.47	17	0	
1787502781	2.52	4	0	
1787502786	2.72	4	0	
1787502791	2.82	6	0	
1787502796	2.83	4	0	
1787502801	2.85	4	0	
1787502806	2.86	4	0	
1787502811	2.87	5	0	
1787502816	2.88	4	0	
1787502821	2.97	6	0	
1787502826	3.05	7	0	
1787502831	3.13	4	0	
1787502836	3.20	5	0	
1787502841	3.18	4	0	
1787502846	3.33	6	0	
1787502851	3.46	6	0	
1787502856	3.51	7	0	
1787502861	3.63	6	0	
1787502866	3.74	5	0	
1787502871	3.76	6	0	
1787502876	3.78	5	0	
1787502881	3.80	8	0	
1787502886	3.89	4	0	
1787502891	3.98	6	0	
1787502896	4.14	6	0	
1787502901	4.21	6	0	
1787502906	4.28	5	0	
1787502911	4.25	5	0	
1787502916	4.39	5	0	
1787502921	4.44	5	0	
1787502926	4.41	10	0	
1787502931	4.53	7	0	
1787502936	4.73	6	0	
1787502941	4.91	4	0	
1787502946	4.92	4	0	
1787502951	4.69	10	0	
1787502956	4.71	12	0	
1787502961	5.06	4	0	
1787502966	5.05	5	0	
1787502971	5.13	4	0	
1787502976	5.04	4	0	
1787502981	4.95	6	0	
1787502986	4.88	4	0	
1787502991	4.73	4	0	
1787502996	4.67	5	0	
1787503001	4.61	6	0	
1787503006	4.73	2	0	
1787503012	4.43	5	0	
1787503017	4.39	5	0	
1787503022	4.36	5	0	
1787503027	4.41	4	0	
1787503032	4.30	5	0	
1787503037	4.27	5	0	
1787503042	4.17	4	0	
1787503047	4.24	3	0	
1787503052	4.06	4	0	
1787503057	3.89	3	0	
1787503062	3.74	6	0	
1787503067	4.00	5	0	
1787503072	4.08	5	0	
1787503077	4.08	8	0	
1787503082	4.23	5	0	
1787503087	4.21	7	0	
1787503092	4.36	7	0	
1787503097	4.41	6	0	
1787503102	4.45	7	0	
1787503107	4.42	4	0	
1787503112	4.30	5	0	
1787503117	4.36	5	0	
1787503122	4.41	6	0	
1787503127	4.30	7	0	
1787503132	4.27	6	0	
1787503137	4.33	6	0	
1787503142	4.39	6	0	
1787503147	4.44	7	0	
1787503152	4.48	7	0	
1787503157	4.52	6	0	
1787503162	4.56	6	0	
1787503167	4.68	7	0	
1787503172	4.70	4	0	
1787503177	4.57	4	0	
1787503182	4.44	3	0	
1787503187	4.25	2	0	
1787503192	4.06	3	0	
1787503197	3.98	2	0	
1787503202	3.82	3	0	
1787503207	3.59	3	0	
1787503212	3.47	7	0	
1787503217	3.75	4	0	
1787503222	3.69	4	0	
1787503227	3.63	4	0	
1787503232	3.58	3	0	
1787503237	3.70	2	0	
1787503242	3.20	1	0	
1787503247	3.35	6	0	
1787503252	3.40	7	0	
1787503257	3.53	5	0	
1787503262	3.56	6	0	
1787503267	3.60	5	0	
1787503272	3.71	7	0	
1787503277	3.82	7	0	
1787503282	3.83	7	0	
1787503287	3.84	5	0	
1787503292	3.86	3	0	
1787503297	3.79	3	0	
1787503302	3.72	3	0	
