# PARSE_CENSUS in_tier=945 parse_fail=924 parse_ok=21 missing=41 tree=SCRIP 59589ee97 (parse-only: --dump-ast on each manifest in-tier file staged as .raku; scoreboard exclusions S01 S15 S17 S22 S24 S26) measured 2026-09-04 16:49 CDT by ceo, scratch parse_census.sh; columns: roast-file failing-line message source-line
S02-magicals/progname.t	7	raku parse error line 7: syntax error	ok($*PROGRAM ~~ /S02'-'magicals['/'|'\\']progname'.'\w+$/, "progname var matches test file path");
S02-magicals/sub.t	13	raku parse error line 13: syntax error	sub factorial { @_[0] < 2 ?? 1 !! @_[0] * &?ROUTINE(@_[0] - 1) }
S02-magicals/subname.t	8	raku parse error line 8: syntax error	sub foo { return &?ROUTINE.package.^name ~ '::' ~ &?ROUTINE.name }
S02-magicals/VM.t	30	raku parse error line 30: syntax error	ok $?VM.raku ~~ m/\w/, 'We can do a $?VM.raku';
S02-names/bare-sigil.t	7	raku parse error line 7: syntax error	lives-ok { my $ }, 'basic bare sigil $';
S02-names/caller.t	6	raku parse error line 6: syntax error	my $a is dynamic = 9;
S02-names/identifier.t	10	raku parse error line 10: syntax error	ok don't(0),    "don't() is a valid sub name (1)";
S02-names/indirect.t	7	raku parse error line 7: syntax error	class ::(name) {
S02-names/is_default.t	8	raku parse error line 8: syntax error	subset IntOrNil of Any where Int | Nil;
S02-names/is_dynamic.t	7	raku parse error line 7: syntax error	my $a is dynamic;
S02-names/name.t	41	raku parse error line 41: syntax error	%a<o>++;
S02-names/our.t	8	raku parse error line 8: syntax error	lives-ok { EVAL 'our sub eval_born { 5 }'},
S02-names/strict.t	1	raku parse error line 1: syntax error	no strict;
S02-names/symbolic-deref.t	14	raku parse error line 14: syntax error	is $::($b_var), 42, 'basic symbolic scalar dereferentiation works';
S02-names-vars/contextual.t	11	raku parse error line 11: syntax error	method foo_priv { self!priv }
S02-names-vars/fmt.t	32	raku parse error line 32: syntax error	a => 1.3,
S02-names-vars/list_array_perl.t	27	raku parse error line 27: syntax error	my $s = (~$obj).subst(/\n/, '␤');
S02-names-vars/names.t	12	raku parse error line 12: syntax error	$Terrain::mountain  = 108;
