# VERBATIM RUNNER BOARD LINES, kept so any two readings of one suite are diffable after the fact (ceo CEO-827).
# Each line is the runner's OWN board output, unedited. A receipt that paraphrases a board cannot be compared by
# util_suite_population_diff.py, which is the gap the coo measured on the 2026-09-17 SNOBOL4 pair.
# tree	suite	measurer	verbatim line
d9c66f2c6	raku-master	hq_raku	SUITE_BOARD family=ALL total=929 shipped=929 outside=0 m3_n=929 m3_pass=853 m3_fail=26 m3_crash=0 m3_hang=0 m3_unproven=0 m3_skip=0 m3_xfail=48 m3_xpass=2 m4_n=929 m4_pass=853 m4_fail=14 m4_crash=0 m4_hang=0 m4_unproven=0 m4_skip=12 m4_xfail=50 m4_xpass=0 all_pass=853 all_n=929 rt_md5=a8e0c9f57819 arena_kb=128 arena_mb=0
5a26a6f65	raku-master	hq_raku	SUITE_BOARD family=ALL total=929 shipped=929 outside=0 m3_n=929 m3_pass=865 m3_fail=16 m3_crash=0 m3_hang=0 m3_unproven=0 m3_skip=0 m3_xfail=46 m3_xpass=2 m3_xfail_wrong=46 m3_xfail_crash=0 m3_xfail_hang=0 m3_xfail_unproven=0 m3_xfail_skip=0 m4_n=929 m4_pass=865 m4_fail=7 m4_crash=0 m4_hang=0 m4_unproven=0 m4_skip=9 m4_xfail=48 m4_xpass=0 m4_xfail_wrong=46 m4_xfail_crash=0 m4_xfail_hang=0 m4_xfail_unproven=0 m4_xfail_skip=2 all_pass=865 all_n=929 rt_md5=319f5a2bc91a arena_kb=128 arena_mb=0
acf20fc9e	raku-master	hq_raku	SUITE_BOARD family=ALL total=929 shipped=929 outside=0 m3_n=929 m3_pass=866 m3_fail=15 m3_crash=0 m3_hang=0 m3_unproven=0 m3_skip=0 m3_xfail=46 m3_xpass=2 m3_xfail_wrong=46 m3_xfail_crash=0 m3_xfail_hang=0 m3_xfail_unproven=0 m3_xfail_skip=0 m4_n=929 m4_pass=866 m4_fail=6 m4_crash=0 m4_hang=0 m4_unproven=0 m4_skip=9 m4_xfail=48 m4_xpass=0 m4_xfail_wrong=46 m4_xfail_crash=0 m4_xfail_hang=0 m4_xfail_unproven=0 m4_xfail_skip=2 all_pass=866 all_n=929 rt_md5=91f8f80af053 arena_kb=128 arena_mb=0
