# VERBATIM RUNNER BOARD LINES, kept so any two readings of one suite are diffable after the fact (ceo CEO-827).
# Each line is the runner's OWN board output, unedited. A receipt that paraphrases a board cannot be compared by
# util_suite_population_diff.py, which is the gap the coo measured on the 2026-09-17 SNOBOL4 pair.
# tree	suite	measurer	verbatim line
ac1970678	raku-master	hq_raku	SUITE_BOARD family=ALL total=927 shipped=927 outside=0 m3_n=927 m3_pass=830 m3_fail=47 m3_crash=0 m3_hang=0 m3_unproven=0 m3_skip=0 m3_xfail=48 m3_xpass=2 m3_xfail_wrong=48 m3_xfail_crash=0 m3_xfail_hang=0 m3_xfail_unproven=0 m3_xfail_skip=0 m4_n=927 m4_pass=830 m4_fail=12 m4_crash=0 m4_hang=0 m4_unproven=0 m4_skip=35 m4_xfail=50 m4_xpass=0 m4_xfail_wrong=48 m4_xfail_crash=0 m4_xfail_hang=0 m4_xfail_unproven=0 m4_xfail_skip=2 all_pass=830 all_n=927 arena_mb=512
a786bb164	raku-master	hq_raku	SUITE_BOARD family=ALL total=927 shipped=927 outside=0 m3_n=927 m3_pass=830 m3_fail=47 m3_crash=0 m3_hang=0 m3_unproven=0 m3_skip=0 m3_xfail=48 m3_xpass=2 m3_xfail_wrong=48 m3_xfail_crash=0 m3_xfail_hang=0 m3_xfail_unproven=0 m3_xfail_skip=0 m4_n=927 m4_pass=830 m4_fail=12 m4_crash=0 m4_hang=0 m4_unproven=0 m4_skip=35 m4_xfail=50 m4_xpass=0 m4_xfail_wrong=48 m4_xfail_crash=0 m4_xfail_hang=0 m4_xfail_unproven=0 m4_xfail_skip=2 all_pass=830 all_n=927 arena_mb=512
