# VERBATIM RUNNER BOARD LINES, kept so any two readings of one suite are diffable after the fact (ceo CEO-827).
# Each line is the runner's OWN board output, unedited. A receipt that paraphrases a board cannot be compared by
# util_suite_population_diff.py, which is the gap the coo measured on the 2026-09-17 SNOBOL4 pair.
# tree	suite	measurer	verbatim line
ff2300d0e	snc-master	hq_snocone	SUITE_BOARD family=ALL total=337 shipped=337 outside=0 m3_n=337 m3_pass=337 m3_fail=0 m3_crash=0 m3_hang=0 m3_unproven=0 m3_skip=0 m3_xfail=0 m3_xpass=0 m3_xfail_wrong=0 m3_xfail_crash=0 m3_xfail_hang=0 m3_xfail_unproven=0 m3_xfail_skip=0 m4_n=337 m4_pass=337 m4_fail=0 m4_crash=0 m4_hang=0 m4_unproven=0 m4_skip=0 m4_xfail=0 m4_xpass=0 m4_xfail_wrong=0 m4_xfail_crash=0 m4_xfail_hang=0 m4_xfail_unproven=0 m4_xfail_skip=0 all_pass=337 all_n=337 rt_md5=0ec497f7b275 arena_kb=128 arena_mb=0
ecf3aea38	snc-master	hq_snocone	SUITE_BOARD family=ALL total=337 shipped=337 outside=0 m3_n=337 m3_pass=337 m3_fail=0 m3_crash=0 m3_hang=0 m3_unproven=0 m3_skip=0 m3_xfail=0 m3_xpass=0 m3_xfail_wrong=0 m3_xfail_crash=0 m3_xfail_hang=0 m3_xfail_unproven=0 m3_xfail_skip=0 m4_n=337 m4_pass=337 m4_fail=0 m4_crash=0 m4_hang=0 m4_unproven=0 m4_skip=0 m4_xfail=0 m4_xpass=0 m4_xfail_wrong=0 m4_xfail_crash=0 m4_xfail_hang=0 m4_xfail_unproven=0 m4_xfail_skip=0 all_pass=337 all_n=337 rt_md5=df3bc2b88f13 arena_kb=128 arena_mb=0
5ad13645a	snc-bench	hq_snocone	SUITE_BOARD family=snocone-bench total=16 shipped=16 all_pass=16 all_n=16 m3_pass=16 m4_pass=16 angles=process,iter,time refless=0 unwrappable=0 heap_declared=1
8a2e9bdff	snocone-bench-ref	hq_snocone	SUITE_BOARD family=snocone-bench-ref total=16 shipped=16 all_pass=16 all_n=16 m3_pass=16 m4_pass=16 angles=process,iter,time refless=0 unwrappable=0 heap_declared=1
